Date,Close,Open,High,Low,STOCHk_14_3_3,STOCHd_14_3_3,stoch_diff,Stoch_Signal,Stoch_Entry/Exit,side,cost/proceeds,trade_volume,shares,value
2021-07-02 09:30:00-04:00,431.8800048828125,431.6700134277344,431.9700012207031,431.3299865722656,95.53986697994145,96.12805430339982,-0.5881873234583708,-1.0,0.0,hold,,,0.0,
2021-07-02 10:30:00-04:00,432.1199951171875,431.8800048828125,432.1300048828125,431.7398986816406,98.03855987194471,96.5287624057515,1.5097974661932199,1.0,2.0,go long,-43211.99951171875,100.0,100.0,43211.99951171875
2021-07-02 11:30:00-04:00,432.5,432.1099853515625,432.6499938964844,432.0400085449219,98.25717572604144,97.27853419264254,0.9786415333988998,1.0,0.0,hold,,,100.0,
2021-07-02 12:30:00-04:00,433.159912109375,432.489990234375,433.489990234375,432.4599914550781,97.07882533903559,97.7915203123406,-0.7126949733050054,-1.0,-2.0,sell_short,43315.9912109375,100.0,0.0,43315.9912109375
2021-07-02 13:30:00-04:00,433.55609130859375,433.1600036621094,433.55999755859375,433.0299987792969,97.12955108512908,97.48851738340204,-0.35896629827296067,-1.0,0.0,hold,,,0.0,
2021-07-02 14:30:00-04:00,433.6000061035156,433.55999755859375,433.6700134277344,433.17999267578125,97.70702182886879,97.30513275101116,0.40188907785763206,1.0,2.0,go long,-43360.00061035156,100.0,100.0,43360.00061035156
2021-07-02 15:30:00-04:00,433.75,433.6050109863281,434.1000061035156,433.44000244140625,97.36742478420608,97.40133256606799,-0.03390778186191312,-1.0,-2.0,sell_short,43375.0,100.0,0.0,43375.0
2021-07-06 09:30:00-04:00,432.2699890136719,433.7799987792969,434.010009765625,431.8699951171875,85.7487463741765,93.60773099575046,-7.858984621573953,-1.0,0.0,hold,,,0.0,
2021-07-06 10:30:00-04:00,431.1400146484375,432.260009765625,432.260009765625,430.45001220703125,65.68725477639767,82.93447531159342,-17.24722053519575,-1.0,0.0,hold,,,0.0,
2021-07-06 11:30:00-04:00,430.5299987792969,431.1600036621094,431.4800109863281,430.010009765625,42.515370244088665,64.65045713155428,-22.13508688746561,-1.0,0.0,hold,,,0.0,
2021-07-06 12:30:00-04:00,431.3699951171875,430.5199890136719,431.54998779296875,430.1000061035156,33.42771059270289,47.21011187106308,-13.78240127836019,-1.0,0.0,hold,,,0.0,
2021-07-06 13:30:00-04:00,432.20001220703125,431.3699951171875,432.2049865722656,431.2799987792969,38.41299649084518,38.11869244254558,0.2943040482996011,1.0,2.0,go long,-43220.001220703125,100.0,100.0,43220.001220703125
